Time ( Second ),RawData ...,,run 2 (trial 4)
0,-0.0468,,2 ace 10 acid
5,-0.0437,,
10,-0.045,,
15,-0.0465,,
20,-0.0439,,
25,-0.0442,,
30,-0.0464,,
35,-0.0468,,
40,-0.0152,,
45,0.4196,,
50,0.4182,,
55,0.4158,,
60,0.4138,,
65,0.4111,,
70,0.4092,,
75,0.4068,,
80,0.4048,,
85,0.4028,,
90,0.4003,,
95,0.3983,,
100,0.3957,,
105,0.3931,,
110,0.3907,,
115,0.388,,
120,0.3857,,
125,0.3831,,
130,0.3803,,
135,0.378,,
140,0.3755,,
145,0.3727,,
150,0.3705,,
155,0.3675,,
160,0.3648,,
165,0.3624,,
170,0.3593,,
175,0.3568,,
180,0.3542,,
185,0.3509,,
190,0.3483,,
195,0.3456,,
200,0.3428,,
205,0.3404,,
210,0.3371,,
215,0.3347,,
220,0.3317,,
225,0.3289,,
230,0.3257,,
235,0.3229,,
240,0.3203,,
245,0.3173,,
250,0.3143,,
255,0.3112,,
260,0.3088,,
265,0.3055,,
270,0.3028,,
275,0.2996,,
280,0.297,,
285,0.2939,,
290,0.2911,,
295,0.2884,,
300,0.2851,,
305,0.2821,,
310,0.2791,,
315,0.2765,,
320,0.2733,,
325,0.2703,,
330,0.2673,,
335,0.2645,,
340,0.2615,,
345,0.2583,,
350,0.2548,,
355,0.2518,,
360,0.2487,,
365,0.2462,,
370,0.2432,,
375,0.2397,,
380,0.2366,,
385,0.2335,,
390,0.2309,,
395,0.228,,
400,0.2246,,
405,0.2215,,
410,0.2188,,
415,0.2157,,
420,0.2125,,
425,0.2095,,
430,0.2065,,
435,0.2034,,
440,0.2001,,
445,0.1972,,
450,0.1942,,
455,0.191,,
460,0.1881,,
465,0.1851,,
470,0.1823,,
475,0.179,,
480,0.1758,,
485,0.1725,,
490,0.1695,,
495,0.1664,,
500,0.1633,,
505,0.1599,,
510,0.1568,,
515,0.1538,,
520,0.1511,,
525,0.1478,,
530,0.1449,,
535,0.1417,,
540,0.1387,,
545,0.1361,,
550,0.1327,,
555,0.1297,,
560,0.1261,,
565,0.1231,,
570,0.1201,,
575,0.1168,,
580,0.1138,,
585,0.111,,
590,0.108,,
595,0.1048,,
600,0.1018,,
605,0.0981,,
610,0.0949,,
615,0.0921,,
620,0.0889,,
625,0.0861,,
630,0.0826,,
635,0.0798,,
640,0.0762,,
645,0.0735,,
650,0.07,,
655,0.0672,,
660,0.0641,,
665,0.0614,,
670,0.0583,,
675,0.0549,,
680,0.052,,
685,0.0487,,
690,0.0455,,
695,0.0427,,
700,0.0399,,
705,0.0365,,
710,0.0335,,
715,0.0308,,
720,0.0274,,
725,0.0242,,
730,0.0212,,
735,0.0185,,
740,0.0153,,
745,0.0118,,
750,0.0089,,
755,0.0061,,
760,0.0031,,
765,0.0013,,
770,0.0008,,
775,0.0004,,
780,0.0009,,
785,0.0008,,
790,0.0007,,
795,0.0004,,
800,0.0005,,
805,0.0004,,
810,0.0007,,
815,0.0008,,
820,0.0007,,
825,0.001,,
830,0.001,,
835,0.001,,
840,0.0008,,
845,0.0007,,
850,0.0007,,
855,0.0005,,
860,0.0009,,
865,0.0009,,
870,0.0007,,
875,0.0006,,
880,0.0005,,
885,0.0002,,
890,0.0005,,
895,0.0007,,
900,0.0006,,
