Time ( Second ),Absorbance,Br2 Concentration,,run 2 (trial 4)
0,-0.0468,-0.000357798,,2 ace 10 acid
5,-0.0437,-0.000334098,,
10,-0.045,-0.000344037,,
15,-0.0465,-0.000355505,,
20,-0.0439,-0.000335627,,
25,-0.0442,-0.00033792,,
30,-0.0464,-0.00035474,,
35,-0.0468,-0.000357798,,
40,-0.0152,-0.000116208,,
45,0.4196,0.003207951,,
50,0.4182,0.003197248,,
55,0.4158,0.003178899,,
60,0.4138,0.003163609,,
65,0.4111,0.003142966,,
70,0.4092,0.00312844,,
75,0.4068,0.003110092,,
80,0.4048,0.003094801,,
85,0.4028,0.003079511,,
90,0.4003,0.003060398,,
95,0.3983,0.003045107,,
100,0.3957,0.003025229,,
105,0.3931,0.003005352,,
110,0.3907,0.002987003,,
115,0.388,0.002966361,,
120,0.3857,0.002948777,,
125,0.3831,0.002928899,,
130,0.3803,0.002907492,,
135,0.378,0.002889908,,
140,0.3755,0.002870795,,
145,0.3727,0.002849388,,
150,0.3705,0.002832569,,
155,0.3675,0.002809633,,
160,0.3648,0.002788991,,
165,0.3624,0.002770642,,
170,0.3593,0.002746942,,
175,0.3568,0.002727829,,
180,0.3542,0.002707951,,
185,0.3509,0.002682722,,
190,0.3483,0.002662844,,
195,0.3456,0.002642202,,
200,0.3428,0.002620795,,
205,0.3404,0.002602446,,
210,0.3371,0.002577217,,
215,0.3347,0.002558869,,
220,0.3317,0.002535933,,
225,0.3289,0.002514526,,
230,0.3257,0.002490061,,
235,0.3229,0.002468654,,
240,0.3203,0.002448777,,
245,0.3173,0.002425841,,
250,0.3143,0.002402905,,
255,0.3112,0.002379205,,
260,0.3088,0.002360856,,
265,0.3055,0.002335627,,
270,0.3028,0.002314985,,
275,0.2996,0.00229052,,
280,0.297,0.002270642,,
285,0.2939,0.002246942,,
290,0.2911,0.002225535,,
295,0.2884,0.002204893,,
300,0.2851,0.002179664,,
305,0.2821,0.002156728,,
310,0.2791,0.002133792,,
315,0.2765,0.002113914,,
320,0.2733,0.00208945,,
325,0.2703,0.002066514,,
330,0.2673,0.002043578,,
335,0.2645,0.002022171,,
340,0.2615,0.001999235,,
345,0.2583,0.001974771,,
350,0.2548,0.001948012,,
355,0.2518,0.001925076,,
360,0.2487,0.001901376,,
365,0.2462,0.001882263,,
370,0.2432,0.001859327,,
