Time ( Second ),Absorbance,Br2 Concentration,,run 2 (trial 4)
375,0.2397,0.001832569,,
380,0.2366,0.001808869,,
385,0.2335,0.001785168,,
390,0.2309,0.001765291,,
395,0.228,0.001743119,,
400,0.2246,0.001717125,,
405,0.2215,0.001693425,,
410,0.2188,0.001672783,,
415,0.2157,0.001649083,,
420,0.2125,0.001624618,,
425,0.2095,0.001601682,,
430,0.2065,0.001578746,,
435,0.2034,0.001555046,,
440,0.2001,0.001529817,,
445,0.1972,0.001507645,,
450,0.1942,0.001484709,,
455,0.191,0.001460245,,
460,0.1881,0.001438073,,
465,0.1851,0.001415138,,
470,0.1823,0.001393731,,
475,0.179,0.001368502,,
480,0.1758,0.001344037,,
485,0.1725,0.001318807,,
490,0.1695,0.001295872,,
495,0.1664,0.001272171,,
500,0.1633,0.001248471,,
505,0.1599,0.001222477,,
510,0.1568,0.001198777,,
515,0.1538,0.001175841,,
520,0.1511,0.001155199,,
525,0.1478,0.001129969,,
530,0.1449,0.001107798,,
535,0.1417,0.001083333,,
540,0.1387,0.001060398,,
545,0.1361,0.00104052,,
550,0.1327,0.001014526,,
555,0.1297,0.00099159,,
560,0.1261,0.000964067,,
565,0.1231,0.000941131,,
570,0.1201,0.000918196,,
575,0.1168,0.000892966,,
580,0.1138,0.000870031,,
585,0.111,0.000848624,,
590,0.108,0.000825688,,
595,0.1048,0.000801223,,
600,0.1018,0.000778287,,
605,0.0981,0.00075,,
610,0.0949,0.000725535,,
615,0.0921,0.000704128,,
620,0.0889,0.000679664,,
625,0.0861,0.000658257,,
630,0.0826,0.000631498,,
635,0.0798,0.000610092,,
640,0.0762,0.000582569,,
645,0.0735,0.000561927,,
650,0.07,0.000535168,,
655,0.0672,0.000513761,,
660,0.0641,0.000490061,,
665,0.0614,0.000469419,,
670,0.0583,0.000445719,,
675,0.0549,0.000419725,,
680,0.052,0.000397554,,
685,0.0487,0.000372324,,
690,0.0455,0.000347859,,
695,0.0427,0.000326453,,
700,0.0399,0.000305046,,
705,0.0365,0.000279052,,
710,0.0335,0.000256116,,
715,0.0308,0.000235474,,
720,0.0274,0.00020948,,
725,0.0242,0.000185015,,
730,0.0212,0.00016208,,
735,0.0185,0.000141437,,
740,0.0153,0.000116972,,
745,0.0118,9.02141E-05,,
750,0.0089,6.80428E-05,,
755,0.0061,4.66361E-05,,
760,0.0031,2.37003E-05,,
765,0.0013,9.93884E-06,,
770,0.0008,6.11621E-06,,
775,0.0004,3.0581E-06,,
780,0.0009,6.88073E-06,,
785,0.0008,6.11621E-06,,
790,0.0007,5.35168E-06,,
795,0.0004,3.0581E-06,,
800,0.0005,3.82263E-06,,
805,0.0004,3.0581E-06,,
810,0.0007,5.35168E-06,,
815,0.0008,6.11621E-06,,
820,0.0007,5.35168E-06,,
825,0.001,7.64526E-06,,
830,0.001,7.64526E-06,,
835,0.001,7.64526E-06,,
840,0.0008,6.11621E-06,,
845,0.0007,5.35168E-06,,
850,0.0007,5.35168E-06,,
855,0.0005,3.82263E-06,,
860,0.0009,6.88073E-06,,
865,0.0009,6.88073E-06,,
870,0.0007,5.35168E-06,,
875,0.0006,4.58716E-06,,
880,0.0005,3.82263E-06,,
885,0.0002,1.52905E-06,,
890,0.0005,3.82263E-06,,
895,0.0007,5.35168E-06,,
900,0.0006,4.58716E-06,,
