Time ( Second ),Absorbance,Br2 Concentration,,run 3 (trial 2)
0,-0.0447,-0.000341743,,6 ace 15 acid
5,-0.0447,-0.000341743,,
10,-0.0445,-0.000340214,,
15,-0.045,-0.000344037,,
20,-0.045,-0.000344037,,
25,-0.0449,-0.000343272,,
30,-0.0451,-0.000344801,,
35,-0.0448,-0.000342508,,
40,-0.0447,-0.000341743,,
45,-0.0447,-0.000341743,,
50,-0.0446,-0.000340979,,
55,-0.0447,-0.000341743,,
60,-0.0446,-0.000340979,,
65,-0.0453,-0.00034633,,
70,0.3221,0.002462538,,
75,0.3184,0.002434251,,
80,0.3071,0.002347859,,
85,0.2961,0.002263761,,
90,0.2852,0.002180428,,
95,0.2739,0.002094037,,
100,0.2635,0.002014526,,
105,0.252,0.001926606,,
110,0.242,0.001850153,,
115,0.2313,0.001768349,,
120,0.22,0.001681957,,
125,0.2085,0.001594037,,
130,0.1975,0.001509939,,
135,0.1861,0.001422783,,
140,0.174,0.001330275,,
145,0.1619,0.001237768,,
150,0.1508,0.001152905,,
155,0.1383,0.001057339,,
160,0.1267,0.000968654,,
165,0.1146,0.000876147,,
170,0.1038,0.000793578,,
175,0.0922,0.000704893,,
180,0.081,0.000619266,,
185,0.0692,0.000529052,,
190,0.0567,0.000433486,,
195,0.0443,0.000338685,,
200,0.0319,0.000243884,,
205,0.0197,0.000150612,,
210,0.0088,6.72783E-05,,
215,0.0038,2.9052E-05,,
220,0.0038,2.9052E-05,,
225,0.0041,3.13456E-05,,
230,0.0041,3.13456E-05,,
235,0.0038,2.9052E-05,,
240,0.0037,2.82875E-05,,
245,0.0037,2.82875E-05,,
250,0.004,3.0581E-05,,
255,0.0042,3.21101E-05,,
260,0.0039,2.98165E-05,,
265,0.0038,2.9052E-05,,
270,0.0037,2.82875E-05,,
275,0.0036,2.75229E-05,,
280,0.0035,2.67584E-05,,
285,0.0035,2.67584E-05,,
290,0.0042,3.21101E-05,,
295,0.0039,2.98165E-05,,
300,0.0036,2.75229E-05,,
305,0.0031,2.37003E-05,,
310,0.0034,2.59939E-05,,
315,0.0039,2.98165E-05,,
320,0.004,3.0581E-05,,
325,0.0043,3.28746E-05,,
330,0.0043,3.28746E-05,,
335,0.0037,2.82875E-05,,
340,0.0037,2.82875E-05,,
345,0.0037,2.82875E-05,,
350,0.0034,2.59939E-05,,
355,0.004,3.0581E-05,,
360,0.0044,3.36391E-05,,
365,0.0043,3.28746E-05,,
370,0.0047,3.59327E-05,,
375,0.0042,3.21101E-05,,
380,0.0043,3.28746E-05,,
385,0.0044,3.36391E-05,,
390,0.0047,3.59327E-05,,
395,0.0042,3.21101E-05,,
400,0.0044,3.36391E-05,,
405,0.0043,3.28746E-05,,
410,0.0044,3.36391E-05,,
415,0.004,3.0581E-05,,
420,0.0044,3.36391E-05,,
425,0.0041,3.13456E-05,,
430,0.0045,3.44037E-05,,
435,0.0046,3.51682E-05,,
440,0.0042,3.21101E-05,,
445,0.0045,3.44037E-05,,
450,0.0043,3.28746E-05,,
455,0.0046,3.51682E-05,,
460,0.0045,3.44037E-05,,
465,0.0051,3.89908E-05,,
470,0.0045,3.44037E-05,,
