435.8,0.572,0.569,0.44
436,0.568,0.565,0.439
436.2,0.564,0.561,0.438
436.4,0.561,0.558,0.437
436.6,0.557,0.554,0.436
436.8,0.553,0.551,0.434
437,0.55,0.547,0.433
437.2,0.546,0.544,0.432
437.4,0.542,0.54,0.431
437.6,0.539,0.537,0.43
437.8,0.535,0.534,0.429
438,0.531,0.53,0.428
438.2,0.528,0.527,0.427
438.4,0.524,0.523,0.425
438.6,0.521,0.52,0.424
438.8,0.517,0.517,0.423
439,0.514,0.513,0.421
439.2,0.51,0.51,0.42
439.4,0.507,0.507,0.419
439.6,0.503,0.504,0.418
439.8,0.5,0.501,0.417
440,0.497,0.498,0.416
440.2,0.494,0.494,0.415
440.4,0.491,0.492,0.414
440.6,0.488,0.489,0.412
440.8,0.484,0.486,0.411
441,0.481,0.483,0.41
441.2,0.478,0.479,0.409
441.4,0.475,0.476,0.408
441.6,0.472,0.473,0.407
441.8,0.469,0.47,0.405
442,0.466,0.467,0.404
442.2,0.463,0.465,0.403
442.4,0.46,0.462,0.402
442.6,0.457,0.459,0.401
442.8,0.454,0.456,0.4
443,0.451,0.453,0.399
443.2,0.448,0.45,0.398
443.4,0.445,0.447,0.396
443.6,0.442,0.444,0.395
443.8,0.439,0.442,0.394
444,0.436,0.439,0.393
444.2,0.433,0.436,0.392
444.4,0.431,0.433,0.39
444.6,0.428,0.43,0.389
444.8,0.425,0.428,0.388
445,0.422,0.425,0.387
445.2,0.42,0.422,0.386
445.4,0.417,0.42,0.385
445.6,0.415,0.417,0.384
445.8,0.412,0.415,0.383
446,0.409,0.412,0.382
446.2,0.407,0.41,0.381
446.4,0.404,0.407,0.379
446.6,0.401,0.405,0.378
446.8,0.398,0.402,0.377
447,0.396,0.399,0.376
447.2,0.393,0.397,0.374
447.4,0.39,0.394,0.373
447.6,0.387,0.391,0.372
447.8,0.385,0.389,0.371
448,0.382,0.386,0.37
448.2,0.379,0.384,0.368
448.4,0.377,0.381,0.367
448.6,0.374,0.379,0.366
448.8,0.372,0.377,0.365
449,0.369,0.374,0.364
449.2,0.367,0.372,0.363
449.4,0.365,0.37,0.362
449.6,0.362,0.368,0.361
449.8,0.36,0.366,0.36
450,0.358,0.363,0.358
450.2,0.355,0.361,0.357
450.4,0.353,0.359,0.356
450.6,0.35,0.356,0.355
450.8,0.348,0.354,0.353
451,0.345,0.351,0.352
451.2,0.343,0.349,0.351
451.4,0.341,0.347,0.35
451.6,0.338,0.345,0.349
451.8,0.336,0.342,0.348
452,0.334,0.34,0.346
452.2,0.331,0.338,0.345
452.4,0.329,0.336,0.344
452.6,0.327,0.334,0.343
452.8,0.325,0.332,0.342
453,0.323,0.33,0.341
453.2,0.321,0.328,0.339
453.4,0.318,0.325,0.339
453.6,0.316,0.323,0.337
453.8,0.314,0.321,0.336
454,0.311,0.319,0.335
454.2,0.309,0.317,0.333
454.4,0.307,0.315,0.332
454.6,0.305,0.313,0.331
454.8,0.303,0.311,0.33
455,0.301,0.309,0.329
455.2,0.299,0.307,0.328
455.4,0.297,0.305,0.327
455.6,0.295,0.303,0.326
455.8,0.293,0.301,0.324
456,0.291,0.299,0.323
456.2,0.289,0.297,0.322
456.4,0.287,0.295,0.321
456.6,0.286,0.294,0.32
456.8,0.284,0.292,0.319
457,0.282,0.29,0.318
457.2,0.28,0.288,0.317
457.4,0.278,0.286,0.316
457.6,0.276,0.284,0.315
457.8,0.274,0.282,0.313
458,0.272,0.28,0.312
458.2,0.27,0.278,0.311
458.4,0.269,0.276,0.31
458.6,0.267,0.275,0.309
458.8,0.265,0.273,0.308
459,0.263,0.271,0.307
459.2,0.262,0.27,0.305
459.4,0.26,0.268,0.305
459.6,0.258,0.266,0.303
459.8,0.257,0.265,0.302
460,0.255,0.263,0.301
460.2,0.253,0.261,0.3
460.4,0.252,0.26,0.299
460.6,0.249,0.258,0.298
460.8,0.248,0.256,0.296
461,0.246,0.254,0.295
461.2,0.244,0.253,0.294
461.4,0.243,0.251,0.293
461.6,0.242,0.25,0.292
461.8,0.24,0.248,0.291
462,0.238,0.247,0.29
462.2,0.236,0.245,0.289
462.4,0.235,0.243,0.287
462.6,0.233,0.242,0.286
462.8,0.231,0.24,0.285
463,0.23,0.238,0.284
463.2,0.229,0.237,0.283
463.4,0.227,0.235,0.282
463.6,0.225,0.234,0.28
463.8,0.224,0.233,0.28
464,0.222,0.231,0.278
464.2,0.221,0.23,0.277
464.4,0.22,0.228,0.277
464.6,0.218,0.227,0.275
464.8,0.217,0.225,0.274
465,0.215,0.224,0.273
465.2,0.214,0.222,0.272
465.4,0.212,0.221,0.271
465.6,0.21,0.219,0.27
465.8,0.209,0.218,0.268
466,0.207,0.217,0.267
466.2,0.206,0.215,0.266
466.4,0.204,0.214,0.265
466.6,0.203,0.212,0.264
466.8,0.202,0.211,0.263
467,0.2,0.21,0.262
467.2,0.199,0.208,0.261
467.4,0.198,0.207,0.26
467.6,0.197,0.206,0.259
467.8,0.195,0.205,0.258
468,0.194,0.204,0.257
468.2,0.193,0.202,0.256
468.4,0.191,0.201,0.254
468.6,0.19,0.2,0.254
468.8,0.189,0.198,0.252
469,0.187,0.197,0.251
469.2,0.186,0.196,0.25
469.4,0.185,0.194,0.249
469.6,0.183,0.193,0.248
469.8,0.182,0.192,0.247
470,0.18,0.19,0.246
470.2,0.179,0.189,0.245
470.4,0.178,0.188,0.244
470.6,0.177,0.187,0.243
470.8,0.176,0.186,0.242
471,0.175,0.185,0.241
471.2,0.174,0.183,0.24
471.4,0.172,0.182,0.239
471.6,0.171,0.181,0.237
471.8,0.17,0.179,0.236
472,0.169,0.178,0.235
472.2,0.167,0.177,0.234
472.4,0.166,0.176,0.233
472.6,0.165,0.175,0.232
472.8,0.164,0.173,0.231
473,0.163,0.173,0.23
473.2,0.162,0.171,0.229
473.4,0.161,0.17,0.228
473.6,0.16,0.169,0.227
473.8,0.159,0.168,0.226
474,0.158,0.167,0.225
474.2,0.157,0.166,0.224
474.4,0.156,0.165,0.223
474.6,0.154,0.164,0.222
474.8,0.153,0.163,0.221
475,0.152,0.161,0.22
475.2,0.151,0.16,0.219
475.4,0.15,0.159,0.217
475.6,0.149,0.158,0.216
475.8,0.148,0.157,0.215
476,0.146,0.155,0.214
476.2,0.145,0.154,0.213
476.4,0.144,0.153,0.212
476.6,0.143,0.152,0.211
476.8,0.142,0.151,0.21
477,0.141,0.15,0.209
477.2,0.14,0.149,0.208
477.4,0.139,0.148,0.207
477.6,0.138,0.147,0.206
477.8,0.137,0.146,0.205
478,0.137,0.146,0.204
478.2,0.135,0.145,0.203
478.4,0.134,0.144,0.202
478.6,0.133,0.143,0.202
478.8,0.132,0.142,0.2
479,0.131,0.141,0.199
479.2,0.131,0.14,0.198
479.4,0.129,0.139,0.197
479.6,0.128,0.138,0.196
479.8,0.127,0.137,0.195
480,0.126,0.136,0.194
480.2,0.125,0.135,0.193
480.4,0.124,0.134,0.192
480.6,0.123,0.133,0.191
480.8,0.123,0.132,0.19
481,0.122,0.131,0.189
481.2,0.121,0.13,0.188
481.4,0.12,0.129,0.187
481.6,0.119,0.128,0.186
481.8,0.118,0.128,0.185
482,0.117,0.127,0.184
482.2,0.116,0.126,0.183
482.4,0.115,0.125,0.183
482.6,0.115,0.124,0.182
482.8,0.114,0.123,0.181
483,0.113,0.122,0.18
483.2,0.112,0.121,0.179
483.4,0.111,0.121,0.178
483.6,0.11,0.12,0.177
483.8,0.109,0.119,0.176
484,0.108,0.118,0.175
484.2,0.108,0.117,0.174
484.4,0.107,0.116,0.173
484.6,0.106,0.115,0.172
484.8,0.105,0.115,0.171
485,0.104,0.114,0.17
485.2,0.103,0.113,0.169
485.4,0.103,0.112,0.168
485.6,0.102,0.111,0.167
485.8,0.101,0.11,0.166
486,0.1,0.109,0.166
486.2,0.099,0.109,0.165
486.4,0.099,0.108,0.164
486.6,0.098,0.107,0.163
486.8,0.097,0.106,0.162
487,0.096,0.105,0.161
487.2,0.095,0.104,0.16
487.4,0.095,0.104,0.159
487.6,0.094,0.103,0.158
487.8,0.093,0.102,0.158
488,0.093,0.102,0.157
488.2,0.092,0.101,0.156
488.4,0.091,0.1,0.155
488.6,0.091,0.1,0.154
488.8,0.09,0.099,0.153
489,0.089,0.098,0.153
489.2,0.089,0.098,0.152
489.4,0.088,0.096,0.151
489.6,0.087,0.096,0.15
489.8,0.086,0.095,0.149
490,0.086,0.094,0.148
490.2,0.085,0.094,0.147
490.4,0.084,0.093,0.146
490.6,0.083,0.092,0.146
490.8,0.083,0.091,0.145
491,0.082,0.091,0.144
491.2,0.082,0.09,0.143
491.4,0.081,0.089,0.142
491.6,0.08,0.088,0.141
491.8,0.08,0.088,0.141
492,0.079,0.087,0.139
492.2,0.078,0.086,0.139
492.4,0.077,0.086,0.138
492.6,0.077,0.085,0.137
492.8,0.076,0.084,0.136
493,0.075,0.084,0.135
493.2,0.075,0.083,0.134
493.4,0.074,0.082,0.134
493.6,0.074,0.082,0.133
493.8,0.073,0.081,0.132
494,0.072,0.08,0.131
494.2,0.071,0.08,0.13
494.4,0.071,0.079,0.129
494.6,0.07,0.078,0.128
494.8,0.07,0.078,0.127
495,0.069,0.077,0.127
495.2,0.069,0.077,0.126
495.4,0.068,0.076,0.125
495.6,0.067,0.076,0.125
495.8,0.067,0.075,0.124
496,0.066,0.074,0.123
496.2,0.065,0.074,0.122
496.4,0.065,0.073,0.121
496.6,0.064,0.072,0.12
496.8,0.064,0.072,0.119
497,0.063,0.071,0.119
497.2,0.062,0.07,0.118
497.4,0.062,0.07,0.117
497.6,0.061,0.069,0.116
497.8,0.06,0.069,0.116
498,0.06,0.068,0.115
498.2,0.059,0.067,0.114
498.4,0.059,0.067,0.113
498.6,0.059,0.067,0.112
498.8,0.058,0.066,0.112
499,0.057,0.065,0.111
499.2,0.057,0.065,0.11
499.4,0.056,0.064,0.109
499.6,0.055,0.063,0.108
499.8,0.055,0.062,0.107
500,0.054,0.062,0.107
500.2,0.054,0.061,0.106
500.4,0.053,0.061,0.105
500.6,0.053,0.06,0.105
500.8,0.052,0.06,0.104
501,0.052,0.059,0.103
501.2,0.051,0.059,0.103
501.4,0.051,0.058,0.102
501.6,0.05,0.058,0.101
501.8,0.05,0.057,0.1
502,0.049,0.057,0.099
502.2,0.049,0.056,0.099
502.4,0.048,0.056,0.098
502.6,0.048,0.055,0.097
502.8,0.047,0.055,0.097
503,0.047,0.054,0.096
503.2,0.046,0.053,0.095
503.4,0.046,0.053,0.094
503.6,0.045,0.053,0.093
503.8,0.045,0.052,0.093
504,0.044,0.052,0.092
504.2,0.044,0.051,0.091
504.4,0.043,0.05,0.091
504.6,0.043,0.05,0.09
504.8,0.042,0.05,0.089
505,0.042,0.049,0.089
505.2,0.042,0.049,0.088
505.4,0.041,0.048,0.088
505.6,0.041,0.048,0.087
505.8,0.041,0.048,0.086
506,0.04,0.047,0.086
506.2,0.039,0.046,0.085
506.4,0.039,0.046,0.084
506.6,0.038,0.045,0.083
506.8,0.038,0.044,0.082
507,0.038,0.044,0.082
507.2,0.037,0.044,0.081
507.4,0.037,0.043,0.08
507.6,0.037,0.043,0.08
507.8,0.036,0.043,0.079
508,0.036,0.042,0.079
508.2,0.035,0.042,0.078
508.4,0.035,0.041,0.078
508.6,0.035,0.041,0.077
508.8,0.034,0.04,0.077
509,0.034,0.04,0.076
509.2,0.034,0.04,0.075
509.4,0.033,0.039,0.074
509.6,0.033,0.039,0.074
509.8,0.032,0.038,0.073
510,0.032,0.038,0.073
510.2,0.032,0.038,0.072
510.4,0.031,0.037,0.072
510.6,0.031,0.037,0.071
510.8,0.031,0.037,0.071
511,0.03,0.036,0.07
511.2,0.03,0.036,0.069
511.4,0.029,0.036,0.069
511.6,0.029,0.035,0.068
511.8,0.029,0.035,0.067
512,0.028,0.034,0.067
512.2,0.028,0.034,0.066
512.4,0.028,0.034,0.066
512.6,0.027,0.033,0.065
512.8,0.027,0.033,0.065
513,0.027,0.033,0.064
513.2,0.026,0.032,0.063
513.4,0.025,0.032,0.063
513.6,0.025,0.031,0.062
513.8,0.025,0.031,0.062
514,0.024,0.031,0.061
514.2,0.024,0.03,0.06
514.4,0.023,0.03,0.06
514.6,0.023,0.03,0.059
514.8,0.023,0.029,0.059
515,0.022,0.029,0.058
515.2,0.022,0.029,0.058
515.4,0.022,0.028,0.057
515.6,0.022,0.028,0.057
515.8,0.022,0.028,0.056
516,0.021,0.027,0.056
516.2,0.021,0.027,0.056
516.4,0.021,0.027,0.055
516.6,0.02,0.027,0.055
516.8,0.02,0.027,0.054
517,0.02,0.026,0.053
517.2,0.019,0.026,0.053
517.4,0.019,0.025,0.052
517.6,0.018,0.024,0.051
517.8,0.018,0.024,0.051
518,0.018,0.024,0.05
518.2,0.017,0.023,0.05
518.4,0.017,0.023,0.05
518.6,0.017,0.023,0.049
518.8,0.017,0.023,0.049
519,0.017,0.023,0.048
519.2,0.016,0.022,0.048
519.4,0.016,0.022,0.047
519.6,0.016,0.022,0.047
519.8,0.016,0.021,0.046
520,0.016,0.021,0.046
520.2,0.015,0.021,0.046
520.4,0.015,0.02,0.045
520.6,0.015,0.02,0.045
520.8,0.014,0.02,0.044
521,0.014,0.02,0.043
521.2,0.014,0.019,0.043
521.4,0.014,0.019,0.042
521.6,0.013,0.019,0.042
521.8,0.013,0.019,0.042
522,0.013,0.018,0.041
522.2,0.013,0.018,0.041
522.4,0.012,0.018,0.04
522.6,0.012,0.017,0.04
522.8,0.012,0.017,0.039
523,0.012,0.017,0.039
523.2,0.011,0.016,0.038
523.4,0.011,0.016,0.038
523.6,0.011,0.016,0.037
523.8,0.01,0.015,0.037
524,0.01,0.015,0.036
524.2,0.01,0.015,0.036
524.4,0.01,0.015,0.036
524.6,0.01,0.015,0.035
524.8,0.009,0.014,0.035
525,0.009,0.014,0.034
525.2,0.009,0.014,0.034
525.4,0.009,0.014,0.033
525.6,0.009,0.014,0.033
525.8,0.008,0.013,0.033
526,0.008,0.013,0.032
526.2,0.008,0.013,0.032
526.4,0.008,0.012,0.032
526.6,0.008,0.012,0.031
526.8,0.008,0.012,0.031
527,0.007,0.012,0.03
527.2,0.007,0.012,0.03
527.4,0.007,0.012,0.029
527.6,0.006,0.011,0.029
527.8,0.006,0.011,0.029
528,0.006,0.011,0.028
528.2,0.005,0.01,0.028
528.4,0.006,0.01,0.027
528.6,0.005,0.01,0.027
528.8,0.005,0.01,0.027
529,0.005,0.01,0.026
529.2,0.005,0.01,0.026
529.4,0.005,0.01,0.026
529.6,0.005,0.01,0.026
529.8,0.004,0.009,0.025
530,0.004,0.009,0.025
530.2,0.004,0.009,0.024
530.4,0.004,0.009,0.024
530.6,0.004,0.009,0.024
