Time ( Second ),RawData ...,,run 1 (trial 5)
0,-0.0472,,4 ace 10 acid
5,-0.0438,,
10,-0.0473,,
15,-0.0439,,
20,-0.046,,
25,-0.0454,,
30,0.353,,
35,0.3485,,
40,0.3436,,
45,0.3419,,
50,0.3387,,
55,0.3359,,
60,0.3325,,
65,0.3288,,
70,0.325,,
75,0.3207,,
80,0.3167,,
85,0.3123,,
90,0.3082,,
95,0.303,,
100,0.2981,,
105,0.2934,,
110,0.289,,
115,0.2842,,
120,0.2796,,
125,0.2749,,
130,0.27,,
135,0.2653,,
140,0.2603,,
145,0.2554,,
150,0.2504,,
155,0.2452,,
160,0.2404,,
165,0.2354,,
170,0.2302,,
175,0.2249,,
180,0.2197,,
185,0.2142,,
190,0.2086,,
195,0.203,,
200,0.1975,,
205,0.1921,,
210,0.1864,,
215,0.1808,,
220,0.1751,,
225,0.1694,,
230,0.1639,,
235,0.1581,,
240,0.1524,,
245,0.1465,,
250,0.141,,
255,0.1352,,
260,0.1297,,
265,0.1242,,
270,0.1186,,
275,0.1129,,
280,0.1069,,
285,0.1011,,
290,0.0953,,
295,0.0897,,
300,0.0839,,
305,0.0778,,
310,0.072,,
315,0.0663,,
320,0.0605,,
325,0.0543,,
330,0.0482,,
335,0.0425,,
340,0.0365,,
345,0.0306,,
350,0.0247,,
355,0.0185,,
360,0.013,,
365,0.0086,,
370,0.0057,,
375,0.0057,,
380,0.0055,,
385,0.0056,,
390,0.0056,,
395,0.0057,,
400,0.0058,,
405,0.0059,,
410,0.006,,
415,0.0059,,
420,0.0059,,
425,0.0058,,
430,0.0058,,
435,0.0057,,
440,0.0053,,
445,0.0059,,
450,0.0059,,
